Entity,Code,Year,Global Hunger Index (2021),Donations
Afghanistan,AFG,2021,28.3,https://www.actionagainsthunger.org/location/asia/afghanistan/
Albania,ALB,2021,6.2,https://feeding.al/en/home/
Algeria,DZA,2021,6.9,https://www.wfpusa.org/countries/algeria/
Angola,AGO,2021,26.0,https://www.wfpusa.org/countries/angola/
Argentina,ARG,2021,5.3,https://www.foodbanking.org/global-reach/argentina/
Armenia,ARM,2021,7.2,https://www.armenianfoodbank.org/
Azerbaijan,AZE,2021,7.5,https://unitedca.org/
Bangladesh,BGD,2021,19.1,https://www.actionagainsthunger.org/location/asia/bangladesh/
Belarus,BLR,2021,2.5,https://www.newthing.net/our-mission
Benin,BEN,2021,22.2,https://www.wfpusa.org/countries/benin/
Bolivia,BOL,2021,12.7,https://www.wfpusa.org/countries/bolivia/
Bosnia and Herzegovina,BIH,2021,2.5,https://www.obraduj.ba/o-nama/
Botswana,BWA,2021,23.2,https://foodbank.org.bw/
Brazil,BRA,2021,2.5,https://www.foodbanking.org/global-reach/brazil/
Bulgaria,BGR,2021,6.1,https://www.foodbanking.org/global-reach/bulgaria/
Burkina Faso,BFA,2021,24.5,https://www.actionagainsthunger.org/location/africa/burkina-faso/
Burundi,BDI,2021,42.5,https://www.wfpusa.org/countries/burundi/
Cambodia,KHM,2021,17.0,https://www.wfpusa.org/countries/cambodia/
Cameroon,CMR,2021,18.6,https://www.actionagainsthunger.org/location/africa/cameroon/
Cape Verde,CPV,2021,10.8,https://www.caritas.org/where-caritas-work/africa/cape-verde/
Central African Republic,CAF,2021,43.0,https://www.actionagainsthunger.org/location/africa/central-african-republic/
Chad,TCD,2021,39.6,https://www.actionagainsthunger.org/location/africa/chad/
Chile,CHL,2021,2.5,https://www.foodbanking.org/global-reach/chile/
China,CHN,2021,2.5,https://www.wfpusa.org/countries/china/
Colombia,COL,2021,8.9,https://www.actionagainsthunger.org/location/americas/colombia/
Comoros,COM,2021,42.5,https://projectworldimpact.com/country/comoros
Congo,COG,2021,30.3,https://www.wfp.org/countries/congo
Costa Rica,CRI,2021,5.3,https://www.foodbanking.org/global-reach/costa-rica/
Cote d'Ivoire,CIV,2021,22.3,https://www.wfpusa.org/countries/cote-divoire/
Croatia,HRV,2021,2.5,https://www.savrsen-krug.hr/en/
Cuba,CUB,2021,2.5,https://www.wfpusa.org/countries/cuba/
Democratic Republic of Congo,COD,2021,39.0,https://www.actionagainsthunger.org/location/africa/democratic-republic-congo/
Djibouti,DJI,2021,27.4,https://www.wfpusa.org/countries/djibouti/
Dominican Republic,DOM,2021,8.0,https://www.wfpusa.org/countries/dominican-republic/
Ecuador,ECU,2021,14.0,https://www.wfpusa.org/countries/ecuador/
Egypt,EGY,2021,12.5,https://www.wfpusa.org/countries/egypt/
El Salvador,SLV,2021,8.9,https://www.wfpusa.org/countries/el-salvador/
Estonia,EST,2021,2.5,https://www.riesenkampff-stiftung.com/estonian-foodbank
